horizon,model,setting,AUC,AUPRC,Brier,PosRate
6mo,Logistic,ADI,0.5723239973844813,0.6867247901916144,0.2252248049573567,0.6509500351864884
6mo,Logistic,NoADI,0.5809410418483,0.689250192989092,0.22497476778230419,0.6509500351864884
6mo,RandomForest,ADI,0.576701176983435,0.7064556714070933,0.23083126599906398,0.6509500351864884
6mo,RandomForest,NoADI,0.5685176002615518,0.699118614600815,0.24078135415929053,0.6509500351864884
6mo,XGBoost,ADI,0.6109680143853531,0.7347235941790167,0.22103065252304077,0.6509500351864884
6mo,XGBoost,NoADI,0.6120272994768963,0.7354579240540093,0.22013084590435028,0.6509500351864884
12mo,Logistic,ADI,0.5944538295959237,0.7334525129245066,0.2173901743412413,0.6670556203811746
12mo,Logistic,NoADI,0.6072058663251683,0.7377867442620019,0.21698235913533662,0.6670556203811746
12mo,RandomForest,ADI,0.5709619628892946,0.7070033898423467,0.2274175361786567,0.6670556203811746
12mo,RandomForest,NoADI,0.5738927413421978,0.7154163435130848,0.23310946572818497,0.6670556203811746
12mo,XGBoost,ADI,0.5883450042233183,0.726467306331544,0.22134381532669067,0.6670556203811746
12mo,XGBoost,NoADI,0.5998201683877824,0.7316346644230374,0.21796771883964539,0.6670556203811746
24mo,Logistic,ADI,0.6078508953257022,0.7360064831550279,0.21746998224192046,0.6630701324178518
24mo,Logistic,NoADI,0.6111496903611449,0.737536993635522,0.21712459756495872,0.6630701324178518
24mo,RandomForest,ADI,0.5715942955823708,0.7159400943566183,0.23105762103693014,0.6630701324178518
24mo,RandomForest,NoADI,0.5764009112598296,0.7218190922704844,0.23485835540257044,0.6630701324178518
24mo,XGBoost,ADI,0.599548999595187,0.7279005905881204,0.2204858958721161,0.6630701324178518
24mo,XGBoost,NoADI,0.6064017510314118,0.7335940885747583,0.21869581937789917,0.6630701324178518
