Property Address,Acquisition Date,Investment Type,Asset Type,Size
"4207 Broadway, Oakland, CA",2017,Mixed-use Development,Luxury Multi-family,"143 Units, 3,000 SF of ground floor retail space"
"186 21st St, Brooklyn, NY",2015,-,Luxury Residential & Retail Development,"30,000 SQF, 26 Units"
"613 4th Ave, Brooklyn, NY",2015,-,Mixed-Use Residential & Retail Development,"73 Residential Units & 3,455 SF Retail Space"
"22107 Vermont Avenue, Torrance, CA",2022,Residential Development,Luxury Multi-family,525 Units
"1000 Barone Ave, Atlanta, GA",2021,Residential Value-Add,Multi-family,712 Units
"888 Hilgard Ave, Los Angeles, CA",2013,Residential Value-Add,Luxury multi-family and extended stay,60 Units
"255 Mariposa Ave, Los Angeles, CA",2015,Mixed Use Development,Luxury Multi-family,"122 Units, 4,600 SF Retail"
"841 Fedora Street, Los Angeles, CA",May-17,Residential Development,Luxury multi-family,200 Units
"5959 Franklin Ave, Hollywood, CA",Aug-14,Residential Value-Add,Luxury multi-family and extended stay,55 Units
"24817 Walnut St, Santa Clarita, CA",Feb-21,Residential Value-Add,Mixed-use,144 Units
"1830 N Cherokee Avenue, Los Angeles CA",2018,Residential Value-Add,Luxury multi-family and extended stay,75 Units
"6420 West Franklin Ave, Los Angeles, CA 90028",2020,Mixed-use Development,Luxury Multi-family and Retail,"222 residential units, 18,500 SF rooftop restaurant/lounge"
"5300 South J St, Oxnard CA",Nov-21,Residential Value-Add,Multi-family,170 Units
"940 City Plaza Way, Oviedo, FL",2021,Residential Value-Add,Luxury Multi-family,275 Units
"1818 N Cherokee Ave, Los Angeles CA",Dec-19,Residential Development,Luxury multi-family and extended-stay,86 Units
"316-318 E 81st St, New York, NY",2015,-,Luxury Condominium Building Development,"14,000 SF"
"639 S. La Brea Ave, Los Angeles CA",2017,Mixed-Use Development,Luxury Multi-family and Hotel,"121 Residential units, 125-key hotel and 30,100 SF retail space"
"5251 Cane Island Loop, Kissimmee, FL",Dec-17,Residential Value-Add,Multi-family,166 Units
"1662 Celebration Ave, Celebration, FL",Feb-19,Residential Value-Add,Multi-family,306 Units
"2867 Sunset Place, Los Angeles, CA",2013,Equity and Debt,Luxury Apartment Building Development,60 Units
